Energy0,Muscle,Fat,Skin,Bone,Energy1,Mix,
20.0,0.8246326152414260,0.5675424622060380,0.7723969593251580,2.8224752044062700,20.0,0.781530930243378,
20.25,0.8013139656616780,0.5544591865221980,0.7506273653590220,2.730167053935630,21.0,0.7087528137508290,
20.5,0.7784136527219750,0.5421315397534350,0.7295319919545390,2.6380905189207500,22.0,0.6355033222560030,
20.75,0.7585160896641350,0.5292450081216220,0.710799567534607,2.556756130483180,23.0,0.5812158130235660,
21.0,0.7387029500839950,0.5176653998969520,0.6937962206778310,2.4765433251515400,24.0,0.5341219302026440,
21.25,0.7188959956707240,0.5059569814110050,0.6757942881599830,2.396563006501940,25.0,0.49734516294275300,
21.5,0.7010798428810430,0.4957994589820670,0.6581341521259470,2.326281602951980,26.0,0.45990051120933600,
21.75,0.6842554522185480,0.48562203883604100,0.6429228627655290,2.2519128136899800,27.0,0.43582184091619700,
22.0,0.6688406001837710,0.4766170487876390,0.6285742156789810,2.1870140404746300,28.0,0.40600373000252500,
22.25,0.6522765057633690,0.46679288377855100,0.6134828639376580,2.1195386813983800,29.0,0.39018793745126600,
22.5,0.636383714537289,0.4580120998165110,0.6001482812263390,2.0600174964616800,30.0,0.3693671176658900,
22.75,0.6228816055164750,0.4487586627583680,0.5857864284237210,2.001150012333230,31.0,0.35296458057726200,
23.0,0.6095943134202050,0.4409538654797630,0.5739492203837720,1.9410948625667100,32.0,0.33757263743798900,
23.25,0.5952359942919010,0.4333101015699480,0.561739341610526,1.889335219114920,33.0,0.3255265434429130,
23.5,0.5830542197034750,0.426522964469863,0.5510890604972680,1.8368182594227200,34.0,0.31242720510717400,
23.75,0.5703936115017840,0.41864904387143000,0.5391617734770220,1.7833739409242800,35.0,0.30585125156794100,
24.0,0.5588661943872900,0.4121187598798160,0.5288651584256600,1.7376658320007500,36.0,0.295267316847179,
24.25,0.5482053620580540,0.4062025061466820,0.5175960760211030,1.6909765722648800,37.0,0.28608439572965400,
24.5,0.5380984503435930,0.39924166336200100,0.5081770163674320,1.6440785029539600,38.0,0.2780459347251250,
24.75,0.5268127139488790,0.3932997337443580,0.4990648091147550,1.6026962334965500,39.0,0.27266469246054400,
25.0,0.5174322908410010,0.38696262940623900,0.4904996385576480,1.5621540376173700,40.0,0.26508230627521300,
25.25,0.5085264368359580,0.38149807474514600,0.480960149362525,1.5245080647435700,41.0,0.26174216402676200,
25.5,0.49888587211326700,0.37657682840113200,0.4729279906523290,1.4848779688005000,42.0,0.2556094987006330,
25.75,0.4904003683826660,0.3716196060910660,0.4654789563422160,1.4468720823494100,43.0,0.2515512450159090,
26.0,0.4810323234098540,0.3658958618744610,0.45735894677705800,1.4124772344587100,44.0,0.24570317968796500,
26.25,0.47307631891794000,0.3616898686885180,0.45009087324825200,1.380213482170710,45.0,0.2420797919521930,
26.5,0.46546042829590700,0.357302241560774,0.44206281132189000,1.3457648586415600,46.0,0.23786572542073400,
26.75,0.45855046050914000,0.3521540861967250,0.4352357682380420,1.311855662538230,47.0,0.23620456303620700,
27.0,0.45032513873738700,0.34838537065017000,0.4289843160003620,1.283009512971360,48.0,0.23022891710865800,
27.25,0.44373132686378500,0.3444510385216330,0.4228904841003850,1.2547604830133400,49.0,0.22861578363779100,
27.5,0.4373927373587980,0.33970090672558000,0.4159640347770020,1.2240710900236800,50.0,0.22563020766833400,
27.75,0.4301374210787140,0.33637297255252500,0.410180068944383,1.1981856706856900,51.0,0.22337760594927700,
28.0,0.4241465371507900,0.332844434465904,0.404933602736602,1.1689902701578900,52.0,0.22030810269258800,
28.25,0.4187001412868380,0.3285173949610720,0.398570060627729,1.1448662339510600,53.0,0.2186971820177210,
28.5,0.4121290139673200,0.3256247930715340,0.39369148831940800,1.119723574297250,54.0,0.21536437460934200,
28.75,0.40647964482717300,0.32230105427292700,0.38886441515392000,1.0978956294961200,55.0,0.214390878516834,
29.0,0.4014724230244820,0.3190159637103340,0.3830566009285320,1.073159907672720,56.0,0.20928927146852900,
29.25,0.39573418443579200,0.3152945887811760,0.37846993051709700,1.050919180510480,57.0,0.209534978838407,
29.5,0.39066752368308700,0.31249922868751000,0.37413165845758600,1.0276720283036600,58.0,0.21041089828874700,
29.75,0.38504276402299800,0.30975201158685400,0.368958475889239,1.0077115408682800,59.0,0.2070525857910010,
30.0,0.38043157317381600,0.30671905352787600,0.36473342517591400,0.9871617604870320,60.0,0.20534538353610900,
30.25,0.3762470927197610,0.30401928953138500,0.3609280202869220,0.9691397007435270,61.0,0.203181585703258,
30.5,0.37177221251904400,0.3018301115244400,0.3561230113394250,0.9485680804663380,62.0,0.20110795643197300,
30.75,0.3674217382455520,0.2987041496258770,0.3524830982295000,0.9305935123975760,63.0,0.2004765375486280,
31.0,0.3625709453340110,0.29642506853174500,0.3489657526157250,0.9107761712003600,64.0,0.19948253937932300,
31.25,0.35863779897172100,0.29423211927908900,0.34443351892644700,0.8942826346155740,65.0,0.19880831007461200,
31.5,0.3549857907693830,0.29115558370393600,0.34106288674015500,0.8778009777031490,66.0,0.19664460928236400,
31.75,0.3507462694663560,0.2893811086571510,0.33798140786565600,0.8625119705851160,67.0,0.19630725853062200,
32.0,0.3473200499868010,0.28720408394350000,0.33382289492200100,0.8454049338773320,68.0,0.19475677447628600,
32.25,0.344132999483081,0.28506801657442300,0.330822971090147,0.8303492690611220,69.0,0.1942747565867670,
32.5,0.3399076276139200,0.28323528395662700,0.3279044789696040,0.8166598358102940,70.0,0.19135633103155600,
